time,open,high,low,close,Volume,Volume MA,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 1,Lower ATR 1,Upper ATR 2,Lower ATR 2,Upper ATR 3,Lower ATR 3,K,D,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2022-11-11T15:10:00+01:00,17225.5,17225.5,17026,17056,1691.685,1005.2482999999966,17283.497210417932,17437.287383491574,17129.70703734429,17591.077556565215,16975.91686427065,17744.867729638856,16822.12669119701,17280.087491361748,17312.449577545336,17326.187955571448,17330.236691135146,17329.224941298628,17403.426735514135,17221.472419576538,17494.403893482937,17130.495261607735,17585.381051451735,17039.518103638937,6.862027972716174,5.950333640669544,30.410034550361544,49.23436492935085,NaN,NaN
2022-11-11T15:15:00+01:00,17056,17104,16713,16753.5,8033.301,1397.7994499999966,17257.669337375486,17438.147681416845,17077.190993334127,17618.626025458205,16896.712649292767,17799.104369499564,16716.234305251408,17199.07403115225,17261.63597958667,17293.462929538793,17309.638952166035,17316.431053714212,17374.0433405577,17149.22861861564,17486.450701528727,17036.821257644613,17598.858062499756,16924.413896673585,6.862027972716174,6.86202797271618,21.011331868471714,46.998138002946405,NaN,NaN
2022-11-11T15:20:00+01:00,16753.5,16836,16392.5,16575,11884.028,1984.5581499999967,17203.710676009225,17453.526082888737,16953.895269129713,17703.34148976825,16704.0798622502,17953.15689664776,16454.26445537069,17103.06264174421,17199.214526896973,17252.40790499372,17283.401846731533,17299.95480807612,17335.271362084357,17063.157691709588,17471.32819727174,16927.100856522204,17607.385032459122,16791.044021334823,2.3684757858670005e-15,4.574685315144123,17.5620828840064,44.13742839816372,NaN,NaN
2022-11-11T15:25:00+01:00,16575,16715,16423,16437,7418.447,2347.559599999997,17170.587707322768,17454.745845976442,16886.429568669093,17738.903984630117,16602.27143001542,18023.06212328379,16318.113291361744,17000.591466091257,17129.922297179066,17205.81316756551,17253.173209348264,17280.77803456332,17277.117929853066,16982.726664505066,17424.313562527066,16835.531031831066,17571.509195201063,16688.33539915707,2.3684757858670005e-15,2.2873426575720663,15.450367747323853,40.82452501755271,NaN,NaN
2022-11-11T15:30:00+01:00,16437,16600,16310,16595,5927.696,2578.511249999997,17145.48164657186,17451.878347875358,16839.084945268365,17758.275049178854,16532.68824396487,18064.67175048235,16226.291542661373,16938.192779000296,17081.292997435514,17170.909557990337,17229.667023300113,17265.53852268413,17238.68894206137,16923.897052809658,17396.084886687226,16766.501108183802,17553.48083131308,16609.105163557946,8.401567798593465,2.8005225995311562,26.367127165171738,38.166206693571596,NaN,NaN
2022-11-11T15:35:00+01:00,16595,16595,16482,16500.5,1882.219,2650.7137499999963,17138.18391170174,17450.020532018138,16826.347291385344,17761.857152334534,16514.510671068947,18073.69377265093,16202.67405075255,16870.855428384864,17028.493634032286,17132.60044039089,17203.625343896536,17248.537666624485,17182.718439756296,16874.268828308275,17336.943245480306,16720.044022584265,17491.168051204313,16565.819216860258,16.37190730686268,8.25782503515205,24.34266552013719,35.707628681673036,NaN,NaN
2022-11-11T15:40:00+01:00,16500.5,16583,16480.5,16576,1538.368,2646.1841999999965,17132.54283179035,17448.17060610201,16816.91505747869,17763.798380413667,16501.287283167032,18079.426154725326,16185.659508855373,16825.49305478719,16987.35784912026,17100.79470093998,17181.21015304309,17233.59238514394,17137.888025863984,16836.827672376538,17288.418202607707,16686.297495632814,17438.94837935143,16535.76731888909,29.258150311689892,18.010541805715345,29.030966215458108,34.02130559550095,NaN,NaN
2022-11-11T15:45:00+01:00,16576,17323.5,16573.5,16974,15017.744,3339.204799999997,17117.59592041403,17423.437225974943,16811.75461485312,17729.278531535856,16505.913309292206,18035.11983709677,16200.072003731293,16848.340277127623,16986.143499200236,17093.549289457696,17173.809790434407,17227.823665474076,17179.492949033694,16792.794049366777,17372.84239886715,16599.444599533323,17566.191848700608,16406.095149699864,51.26757608643112,32.299211234994566,47.500011121405755,33.82091995427565,NaN,NaN
2022-11-11T15:50:00+01:00,16974,17070.5,16784,16870,5424.941,3572.530099999997,17111.346506421705,17414.690268668564,16808.002744174846,17718.034030915424,16504.658981927987,18021.377793162283,16201.315219681128,16851.67254218491,16975.58499927294,17080.775044345828,17162.959440776034,17219.872028463542,17175.588059832582,16775.5819387133,17375.59112039222,16575.578878153665,17575.59418095186,16375.575817594025,71.18134535554005,50.56902391788702,44.25878046274106,33.36941736714932,NaN,NaN
2022-11-11T15:55:00+01:00,16870,16998,16785,16898,3118.192,3690.477999999997,17107.67586281497,17409.754227176127,16805.59749845381,17711.832591537284,16503.519134092654,18013.910955898442,16201.440769731496,16858.799843387234,16968.531817520856,17070.330756097494,17153.49660360546,17212.719316719908,17169.46323089766,16767.60040414405,17370.39464427447,16566.66899076724,17571.326057651277,16365.737577390433,87.22593249540544,69.89161797912554,45.34019860625744,33.22075674908109,NaN,NaN
