time,close,Volume,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 1,Lower ATR 1,Upper ATR 3,Lower ATR 3,K,RSI
2022-08-17T05:45:00+02:00,23989.5,784.358,23991.5747,23955.73207,23937.88226,23931.50015,23957.59615,24027.17259,23884.29156,24170.05362,23741.41053,69.17463849,54.78832577
2022-08-17T06:00:00+02:00,23997,272.634,23992.78032,23959.4837,23941.26042,23933.83943,23958.37642,24027.89275,23891.07465,24164.71085,23754.25655,57.18242754,55.5174035
2022-08-17T06:15:00+02:00,24000,281.682,23994.3847,23963.167,23944.61696,23936.20231,23959.20065,24027.54683,23898.78717,24156.3065,23770.02751,49.82842216,55.82427152
2022-08-17T06:30:00+02:00,24011.5,342.948,23998.1881,23967.56091,23948.43885,23938.89151,23960.23628,24030.52075,23904.60107,24156.44044,23778.68138,56.27107318,57.04750997
2022-08-17T06:45:00+02:00,24052,945.031,24010.1463,23975.23719,23954.35663,23942.9311,23962.05339,24037.9499,23912.52448,24163.37533,23787.09905,72.27584865,61.12964847
2022-08-17T07:00:00+02:00,24077.5,1354.818,24025.11379,23984.53381,23961.39339,23947.73714,23964.33946,24046.08847,23922.97915,24169.19779,23799.86983,87.72324708,63.48288555
2022-08-17T07:15:00+02:00,24112.5,1387.684,24044.53295,23996.1671,23970.02806,23953.62152,23967.27333,24058.21786,23934.11634,24182.31937,23810.01483,99.68226311,66.4822841
2022-08-17T07:30:00+02:00,24103.5,1331.371,24057.63674,24005.92464,23977.65503,23958.97433,23969.97089,24069.0432,23942.80608,24195.28032,23816.56896,96.79496956,65.00373689
2022-08-17T07:45:00+02:00,24148,944.649,24077.71746,24018.84058,23987.38902,23965.72524,23973.49622,24080.62924,23957.05192,24204.20657,23833.47459,96.79496956,68.70924289
2022-08-17T08:00:00+02:00,24319.5,10115.421,24131.44691,24046.17325,24006.36679,23978.36006,23980.34778,24123.01273,23969.33378,24276.69167,23815.65484,96.79496956,78.26208396
2022-08-17T08:15:00+02:00,24357.5,1762.205,24181.68093,24074.47568,24026.43155,23991.90077,23987.81614,24151.07662,23997.87475,24304.2785,23844.67287,100,79.73813081
2022-08-17T08:30:00+02:00,24394,2807.457,24228.86295,24103.52335,24047.43546,24006.26146,23995.85938,24183.47422,24023.57248,24343.37597,23863.67073,100,81.06789631
2022-08-17T08:45:00+02:00,24388,1139.52,24264.22674,24129.38486,24066.89629,24019.89497,24003.62454,24207.37496,24051.39477,24363.35515,23895.41458,98.81905036,80.13685083
2022-08-17T09:00:00+02:00,24343,2063.203,24281.73191,24148.80442,24082.67365,24031.43444,24010.34485,24227.79522,24069.81362,24385.77683,23911.83201,89.00960095,73.33425278
2022-08-17T09:15:00+02:00,24045,12334.31,24229.12482,24139.36766,24080.52087,24031.91892,24011.03109,24263.35912,24015.3762,24511.34203,23767.39328,55.67626761,45.68019279
2022-08-17T09:30:00+02:00,23842,7641.346,24143.09708,24112.33423,24066.8911,24025.13611,24007.68394,24244.71916,23979.94931,24509.48901,23715.17945,23.52388392,35.78155029
2022-08-17T09:45:00+02:00,23778.5,4915.022,24062.07551,24081.98567,24050.41161,24016.32767,24003.14564,24217.45024,23946.52109,24488.37939,23675.59194,-1.89E-14,33.34727112
