time,close,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-08-09T00:00:00+02:00,23805.5,23914.99075,23814.0514,23675.83031,23522.51723,23362.78094,24322.0104,23306.0924,8.541332677,52.87314828
2022-08-09T01:00:00+02:00,23809.5,23891.54836,23813.63763,23683.46858,23532.76662,23371.62687,24321.63528,23305.63999,0.22210923,53.0556186
2022-08-09T02:00:00+02:00,23784,23867.64873,23810.9433,23689.21323,23541.73924,23379.79267,24310.72683,23311.15978,0.22210923,51.68180954
2022-08-09T03:00:00+02:00,23731.5,23837.39345,23803.72119,23691.62962,23548.51641,23386.75717,24294.05589,23313.38648,0.22210923,48.8757784
2022-08-09T04:00:00+02:00,23799.5,23828.97269,23803.33744,23697.79364,23557.48011,23394.9303,24297.64824,23309.02665,4.16385134,52.47502008
2022-08-09T05:00:00+02:00,23821,23827.20098,23804.94313,23704.834,23566.89153,23403.36732,24277.01744,23332.86882,9.758885029,53.58760336
2022-08-09T06:00:00+02:00,23868.5,23836.37854,23810.72103,23714.18635,23577.66326,23412.57787,24270.82574,23350.61631,22.84767582,56.03635163
2022-08-09T07:00:00+02:00,23853.5,23840.18331,23814.61002,23722.14713,23587.51457,23421.309,24255.99297,23373.22707,30.01068496,55.0486201
2022-08-09T08:00:00+02:00,23836.5,23839.3648,23816.60002,23728.68158,23596.40691,23429.5306,24250.88419,23382.31585,33.6151657,53.88927233
2022-08-09T09:00:00+02:00,23860.5,23844.06151,23820.59093,23736.21406,23605.83881,23438.06465,24241.31909,23399.86277,32.35103127,55.31990579
2022-08-09T10:00:00+02:00,23770.5,23827.71451,23816.03721,23738.17325,23611.71956,23444.64753,24231.78478,23400.28963,21.54616234,49.1602501
2022-08-09T11:00:00+02:00,23470,23748.22239,23784.57928,23722.84907,23606.65815,23445.14956,24245.41631,23323.74225,12.34664792,35.10518361
2022-08-09T12:00:00+02:00,23356.5,23661.17297,23745.66298,23701.91484,23597.72393,23443.39412,24211.72594,23279.60002,0.521991554,31.44799128
2022-08-09T13:00:00+02:00,23266,23573.35676,23702.05726,23677.00542,23585.87665,23439.88137,24185.08,23219.03451,-3.33E-15,28.86575012
2022-08-09T14:00:00+02:00,23246,23500.61081,23660.59751,23652.37654,23573.7382,23436.04213,24129.69006,23191.50495,-2.15E-15,28.31246665
2022-08-09T15:00:00+02:00,23066,23404.03063,23606.54319,23618.8693,23555.60469,23428.71457,24105.5577,23107.52867,-2.15E-15,23.87672021
