time,close,EMA 1,EMA 2,Upper ATR 1,Lower ATR 1,Upper ATR 2,Lower ATR 2,Upper ATR 3,Lower ATR 3,Volume,K,RSI
2021-01-01T01:00:00+01:00,28990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,917.494,NaN,NaN
2021-01-01T02:00:00+01:00,29411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1927.83,NaN,NaN
2021-01-01T03:00:00+01:00,29218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,931.537,NaN,NaN
2021-01-01T04:00:00+01:00,29303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440.535,NaN,NaN
2021-01-01T05:00:00+01:00,29229.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,711.549,NaN,NaN
2021-01-01T06:00:00+01:00,29204.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,313.622,NaN,NaN
2021-01-01T07:00:00+01:00,29175.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,237.292,NaN,NaN
2021-01-01T08:00:00+01:00,29097.5,29203.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,652.849,NaN,NaN
2021-01-01T09:00:00+01:00,29045,29168.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,479.384,NaN,NaN
2021-01-01T10:00:00+01:00,29243.5,29185.06944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,539.991,NaN,NaN
2021-01-01T11:00:00+01:00,29270.5,29204.05401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,555.235,NaN,NaN
2021-01-01T12:00:00+01:00,29343.5,29235.04201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,402.753,NaN,NaN
2021-01-01T13:00:00+01:00,29276,29244.14379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1495.5,NaN,NaN
2021-01-01T14:00:00+01:00,29494.5,29299.7785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.379,NaN,NaN
2021-01-01T15:00:00+01:00,29360,29313.16106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,452.269,NaN,61.03818616
2021-01-01T16:00:00+01:00,29226,29293.79193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,820.595,NaN,56.19929006
2021-01-01T17:00:00+01:00,29325,29300.72706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,640.163,NaN,58.79811397
2021-01-01T18:00:00+01:00,29087.5,29253.34327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1217.397,17.90231943,50.98301751
2021-01-01T19:00:00+01:00,29074.5,29213.60032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1989.03,17.90231943,50.58667423
2021-01-01T20:00:00+01:00,29038.5,29174.68914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,909.486,0,49.44044324
2021-01-01T21:00:00+01:00,29230,29186.98044,29221.11905,29527.25994,28914.97815,29833.40083,28608.83726,30139.54173,28302.69637,866.992,16.69523452,55.24925438
2021-01-01T22:00:00+01:00,29180,29185.42923,29217.38095,29510.40464,28924.35727,29803.42832,28631.33358,30096.45201,28338.30989,628.187,28.42118798,53.52028105
2021-01-01T23:00:00+01:00,29262.5,29202.55607,29221.48268,29507.86182,28935.10355,29794.24096,28648.72441,30080.6201,28362.34527,924.458,47.18429365,55.96873352
2021-01-02T00:00:00+01:00,29325,29229.76583,29230.89335,29503.20969,28958.57701,29775.52603,28686.26067,30047.84237,28413.94432,723.885,54.46687925,57.78310104
2021-01-02T01:00:00+01:00,29196.5,29222.37342,29227.76668,29506.739,28948.79436,29785.71132,28669.82205,30064.68363,28390.84973,927.032,52.83333178,52.95191714
2021-01-02T02:00:00+01:00,29384,29258.29044,29241.96971,29521.33686,28962.60256,29800.70401,28683.23541,30080.07117,28403.86825,669.985,59.86530278,58.41538327
2021-01-02T03:00:00+01:00,29332,29274.67034,29250.15428,29519.28092,28981.02764,29788.40756,28711.901,30057.5342,28442.77436,644.619,56.05476285,56.45729117
2021-01-02T04:00:00+01:00,29357.5,29293.07693,29259.91298,29516.92344,29002.90253,29773.93389,28745.89208,30030.94434,28488.88163,351.467,68.30648151,57.21468564
2021-01-02T05:00:00+01:00,29343,29304.17095,29267.46635,29516.51177,29018.42093,29765.55719,28769.37551,30014.60261,28520.33009,671.057,68.05633536,56.6116747
2021-01-02T06:00:00+01:00,29615.5,29373.35518,29299.10577,29549.82652,29048.38502,29800.54727,28797.66428,30051.26801,28546.94353,1125.074,81.22238851,64.23955374
2021-01-02T07:00:00+01:00,29734.5,29453.60959,29338.68706,29592.49919,29084.87494,29846.31131,28831.06282,30100.12343,28577.2507,1226.608,92.21159718,66.97041227
2021-01-02T08:00:00+01:00,29777,29525.47412,29378.5337,29627.46638,29129.60101,29876.39907,28880.66833,30125.33175,28631.73564,857.722,100,67.91285296
2021-01-02T09:00:00+01:00,29866.5,29601.25765,29422.89427,29668.29605,29177.49249,29913.69783,28932.09071,30159.09961,28686.68893,931.603,100,69.8630098
2021-01-02T10:00:00+01:00,29647,29611.42262,29443.26752,29694.17631,29192.35872,29945.08511,28941.44993,30195.9939,28690.54113,1008.201,80.9526048,60.19964185
2021-01-02T11:00:00+01:00,29701.5,29631.43981,29466.7432,29723.40851,29210.07789,29980.07382,28953.41258,30236.73913,28696.74727,812.922,64.70322041,61.61916445
2021-01-02T12:00:00+01:00,29782.5,29665.00874,29495.44836,29743.60186,29247.29486,29991.75536,28999.14136,30239.90887,28750.98786,259.279,52.53928479,63.69184653
2021-01-02T13:00:00+01:00,30644.5,29882.67347,29599.9076,29913.40728,29286.40792,30226.90696,28972.90824,30540.40664,28659.40856,5091.224,71.58667999,77.57242402
