time,open,high,low,close,EMA 1 (8),EMA 2 (21),EMA 3 (34),EMA 4 (55),EMA 5 (100),Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-10-18T00:00:00+02:00,19510.5,19568,19508.5,19554,19520.56932,19515.29693,19513.27278,19509.76556,19492.96465,19577.86557,19452.7283,82.85181565,60.40876035
2022-10-18T00:05:00+02:00,19554,19611.5,19551,19588,19535.55391,19521.9063,19517.54291,19512.55964,19494.84654,19592.97004,19450.84257,84.94064194,66.40231924
2022-10-18T00:10:00+02:00,19588,19602,19568.5,19568.5,19542.87526,19526.14209,19520.45474,19514.55751,19496.30502,19599.30842,19452.97577,92.79029182,60.72439909
2022-10-18T00:15:00+02:00,19568.5,19616.5,19568.5,19605,19556.68076,19533.31099,19525.2859,19517.7876,19498.4574,19611.53687,19455.08512,92.79029182,66.49882721
2022-10-18T00:20:00+02:00,19605,19605,19579,19581,19562.08504,19537.64636,19528.46956,19520.04519,19500.09191,19615.8561,19459.43662,84.24274643,60.22848635
2022-10-18T00:25:00+02:00,19581,19601,19563,19573.5,19564.6217,19540.90578,19531.04273,19521.95429,19501.54553,19621.67197,19460.13959,78.51390275,58.37603644
2022-10-18T00:30:00+02:00,19573.5,19573.5,19530.5,19531,19557.15021,19540.00526,19531.04029,19522.27735,19502.12879,19624.21671,19455.7938,50.67483951,49.15062186
2022-10-18T00:35:00+02:00,19531,19532.5,19465,19467,19537.11683,19533.36841,19527.38084,19520.30316,19501.43317,19626.02906,19440.70777,25.88905157,39.12371278
2022-10-18T00:40:00+02:00,19467,19505,19465,19501,19529.09087,19530.42583,19525.87337,19519.61376,19501.42459,19625.03928,19435.81238,13.24157802,45.486216
2022-10-18T00:45:00+02:00,19501,19534,19487.5,19533.5,19530.07067,19530.7053,19526.30918,19520.1097,19502.05975,19628.52494,19432.88567,21.94253188,50.78158919
2022-10-18T00:50:00+02:00,19533.5,19544,19525,19525.5,19529.05497,19530.23209,19526.26294,19520.30221,19502.52391,19625.13604,19435.32815,34.58547961,49.50677701
2022-10-18T00:55:00+02:00,19525.5,19543.5,19504.5,19504.5,19523.59831,19527.89281,19525.01934,19519.73784,19502.56304,19624.37505,19431.41057,35.48659165,46.22625736
2022-10-18T01:00:00+02:00,19504.5,19525,19500,19518,19522.35424,19526.99346,19524.61824,19519.67578,19502.86872,19621.94125,19432.04567,32.81182698,48.58492952
2022-10-18T01:05:00+02:00,19518,19547.5,19517.5,19547,19527.83108,19528.81224,19525.89719,19520.65164,19503.74261,19623.40662,19434.21786,37.45681732,53.32149126
2022-10-18T01:10:00+02:00,19547,19547.5,19535.5,19535.5,19529.53528,19529.42022,19526.44593,19521.18194,19504.37147,19619.82928,19439.01115,43.63866371,51.30311993
2022-10-18T01:15:00+02:00,19535.5,19544,19531.5,19543.5,19532.63855,19530.7002,19527.42044,19521.97901,19505.14629,19617.33004,19444.07035,48.58361181,52.64598513
2022-10-18T01:20:00+02:00,19543.5,19547.5,19532,19532.5,19532.60776,19530.86382,19527.7107,19522.35476,19505.68795,19614.62724,19447.10039,45.24615416,50.58059272
2022-10-18T01:25:00+02:00,19532.5,19548,19531.5,19548,19536.02826,19532.42165,19528.87009,19523.27066,19506.52581,19613.73769,19451.10561,52.89686078,53.3573881
2022-10-18T01:30:00+02:00,19548,19556.5,19541,19556,19540.46642,19534.56514,19530.42037,19524.43957,19507.5055,19613.39432,19455.73596,63.52128345,54.76997807
2022-10-18T01:35:00+02:00,19556,19562,19548,19550.5,19542.69611,19536.01376,19531.56778,19525.3703,19508.35688,19612.21229,19459.81524,80.34513381,53.56881308
2022-10-18T01:40:00+02:00,19550.5,19560,19550.5,19557.5,19545.98586,19537.96706,19533.04962,19526.51779,19509.33001,19610.75854,19465.17557,91.19749417,54.92377676
2022-10-18T01:45:00+02:00,19557.5,19561.5,19545.5,19553,19547.54456,19539.33369,19534.18964,19527.46358,19510.19476,19610.35435,19468.31302,93.59941831,53.83612266
2022-10-18T01:50:00+02:00,19553,19558.5,19536,19546.5,19547.31243,19539.98517,19534.89309,19528.14345,19510.91368,19610.75436,19469.21598,85.8240723,52.22728084
2022-10-18T01:55:00+02:00,19546.5,19546.5,19535.5,19540,19545.68745,19539.98652,19535.18492,19528.5669,19511.48964,19608.05791,19471.91513,69.24880713,50.59886605
2022-10-18T02:00:00+02:00,19540,19557,19511,19511,19537.97913,19537.35138,19533.80292,19527.93951,19511.47995,19610.41767,19464.28509,39.75705292,44.00633545
2022-10-18T02:05:00+02:00,19511,19527,19495.5,19527,19535.53932,19536.41035,19533.41418,19527.90596,19511.78727,19611.00762,19461.81308,29.0418558,48.02956137
2022-10-18T02:10:00+02:00,19527,19539,19520,19522,19532.53058,19535.10031,19532.76194,19527.69503,19511.98951,19608.44064,19461.75999,21.10531181,46.89558962
2022-10-18T02:15:00+02:00,19522,19568.5,19518,19563.5,19539.41268,19537.6821,19534.5184,19528.97378,19513.00952,19616.60526,19458.75895,54.43864515,56.14959942
2022-10-18T02:20:00+02:00,19563.5,19593.5,19554,19571,19546.43208,19540.711,19536.60307,19530.47472,19514.15784,19622.46108,19458.96093,75.48819083,57.5880196
2022-10-18T02:25:00+02:00,19571,19581,19571,19575.5,19552.89162,19543.87364,19538.82575,19532.08276,19515.37254,19621.92728,19465.82,100,58.46831352
2022-10-18T02:30:00+02:00,19575.5,19600,19575.5,19587,19560.47126,19547.79422,19541.57856,19534.04409,19516.7909,19625.5226,19470.06584,100,60.71252255
2022-10-18T02:35:00+02:00,19587,19591,19570,19575,19563.69987,19550.26747,19543.48836,19535.5068,19517.94356,19626.94382,19473.59112,93.06526927,57.23693527
2022-10-18T02:40:00+02:00,19575,19575.5,19555.5,19566,19564.21101,19551.6977,19544.77474,19536.59585,19518.89517,19627.18289,19476.21252,81.08342245,54.7073933
2022-10-18T02:45:00+02:00,19566,19574,19561.5,19570,19565.49745,19553.36155,19546.21618,19537.78885,19519.90715,19626.1335,19480.58959,70.9735749,55.6456124
2022-10-18T02:50:00+02:00,19570,19570.5,19561.5,19569,19566.2758,19554.78322,19547.51811,19538.90354,19520.87928,19624.28576,19485.28069,67.18268792,55.33699726
2022-10-18T02:55:00+02:00,19569,19585,19569,19584.5,19570.32562,19557.48475,19549.63136,19540.53198,19522.1391,19625.45139,19489.51811,75.9898392,59.12141082
2022-10-18T03:00:00+02:00,19584.5,19585,19572.5,19577.5,19571.91993,19559.30432,19551.22386,19541.85227,19523.23536,19625.09477,19493.51387,78.2561447,56.78145212
2022-10-18T03:05:00+02:00,19577.5,19604.5,19577,19604,19579.04883,19563.36756,19554.23964,19544.07183,19524.83466,19630.35155,19496.38357,88.98176242,62.78626145
2022-10-18T03:10:00+02:00,19604,19614,19599.5,19600,19583.70465,19566.69778,19556.85452,19546.06926,19526.32308,19632.00434,19501.39122,89.24755406,61.39952834
2022-10-18T03:15:00+02:00,19600,19600,19565,19565,19579.54806,19566.54344,19557.31997,19546.74536,19527.08896,19634.68524,19498.40163,71.99454716,50.82223075
2022-10-18T03:20:00+02:00,19565,19576.5,19565,19569.5,19577.31516,19566.81222,19558.01597,19547.55803,19527.92878,19632.55104,19501.0734,41.8532763,51.96792875
2022-10-18T03:25:00+02:00,19569.5,19570,19554,19555,19572.35623,19565.73838,19557.84363,19547.82381,19528.46484,19630.21014,19501.26662,11.42884686,48.08093032
2022-10-18T03:30:00+02:00,19555,19564,19533,19533.5,19563.72151,19562.80762,19556.45257,19547.31225,19528.56455,19629.31711,19496.29812,3.19206247,42.95104314
2022-10-18T03:35:00+02:00,19533.5,19543.5,19523,19530,19556.22784,19559.82511,19554.94099,19546.69395,19528.59298,19625.97678,19493.67344,-1.54E-14,42.16241067
2022-10-18T03:40:00+02:00,19530,19542.5,19526,19535,19551.51055,19557.56828,19553.80151,19546.27631,19528.71985,19622.53055,19492.60601,2.568081971,43.75132285
2022-10-18T03:45:00+02:00,19535,19540,19507.5,19523,19545.17487,19554.42571,19552.04142,19545.44501,19528.60658,19621.7121,19487.13932,2.568081971,40.8507382
2022-10-18T03:50:00+02:00,19523,19523,19515,19517.5,19539.0249,19551.06883,19550.06763,19544.44698,19528.38665,19615.26333,19486.87432,2.568081971,39.55631493
2022-10-18T03:55:00+02:00,19517.5,19525,19510,19524.5,19535.79714,19548.65348,19548.60662,19543.73459,19528.30969,19611.47695,19485.83001,3.610059081,42.07215932
2022-10-18T04:00:00+02:00,19524.5,19525.5,19514,19525,19533.39778,19546.50316,19547.25767,19543.06549,19528.24415,19607.30353,19485.7028,7.485407061,42.25703872
