time,close,Volume,K,RSI,Volume delta for the bar,Up volume for the bar,Dn volume for the bar,Total volume
2022-09-18T06:00:00+02:00,20004.5,1838.421,11.23949924,53.52246083,-63.941,887.24,-951.181,1838.421
2022-09-18T07:00:00+02:00,20057,1809.74,15.01983814,56.98980139,807.152,1308.446,-501.294,1809.74
2022-09-18T08:00:00+02:00,20027,2021.783,20.98717441,54.48828613,37.599,1029.691,-992.092,2021.783
2022-09-18T09:00:00+02:00,20040.5,1518.998,28.40739724,55.43623537,243.374,881.186,-637.812,1518.998
2022-09-18T10:00:00+02:00,20041,1830.063,28.37297599,55.47322704,393.939,1112.001,-718.062,1830.063
2022-09-18T11:00:00+02:00,19826,8765.482,21.25067204,40.07043745,-4104.284,2330.599,-6434.883,8765.482
2022-09-18T12:00:00+02:00,19909.5,12188.565,19.88307478,46.30598417,-138.567,6024.999,-6163.566,12188.565
2022-09-18T13:00:00+02:00,19918.5,2379.228,19.34427619,46.94673075,461.176,1420.202,-959.026,2379.228
2022-09-18T14:00:00+02:00,19977,4659.551,36.05222588,51.036779,689.531,2674.541,-1985.01,4659.551
2022-09-18T15:00:00+02:00,19952,3048.033,45.0125992,49.28803355,-30.389,1508.822,-1539.211,3048.033
2022-09-18T16:00:00+02:00,19803,11014.226,35.52204395,40.40251659,-2932.814,4040.706,-6973.52,11014.226
2022-09-18T17:00:00+02:00,19803,4212.843,19.46833307,40.40251659,133.959,2173.401,-2039.442,4212.843
2022-09-18T18:00:00+02:00,19743,13071.942,1.308477622,37.26506228,-3032.37,5019.786,-8052.156,13071.942
2022-09-18T19:00:00+02:00,19629,7706.59,0.654238811,32.15571475,-1088.13,3309.23,-4397.36,7706.59
2022-09-18T20:00:00+02:00,19629.5,8247.583,0.05893538,32.19962294,566.117,4406.85,-3840.733,8247.583
2022-09-18T21:00:00+02:00,19716,3466.193,10.55088341,39.49509857,375.745,1920.969,-1545.224,3466.193
2022-09-18T22:00:00+02:00,19716,2692.154,21.04283144,39.49509857,-9.794,1341.18,-1350.974,2692.154
2022-09-18T23:00:00+02:00,19456.5,15320.934,20.98389605,28.73667499,-4293.136,5513.899,-9807.035,15320.934
2022-09-19T00:00:00+02:00,19439,8117.144,10.49194803,28.17920745,-2442.09,2837.527,-5279.617,8117.144
2022-09-19T01:00:00+02:00,19408.5,4580.612,-1.18E-15,27.18922748,258.816,2419.714,-2160.898,4580.612
2022-09-19T02:00:00+02:00,19450.5,4234.54,5.039710973,30.7947705,354.484,2294.512,-1940.028,4234.54
2022-09-19T03:00:00+02:00,19439,2381.163,9.459945867,30.35158087,-154.573,1113.295,-1267.868,2381.163
2022-09-19T04:00:00+02:00,18756.5,39104.144,9.459945867,15.80960991,-21969.618,8567.263,-30536.881,39104.144
2022-09-19T05:00:00+02:00,18768,8201.314,5.403778849,16.53525605,-129.888,4035.713,-4165.601,8201.314
2022-09-19T06:00:00+02:00,18804.5,4617.656,5.204546938,18.92381189,729.898,2673.777,-1943.879,4617.656
2022-09-19T07:00:00+02:00,18448.5,17046.573,5.204546938,14.55017777,-6934.853,5055.86,-11990.713,17046.573
2022-09-19T08:00:00+02:00,18458,23546.564,4.974401731,15.11398194,-1920.672,10812.946,-12733.618,23546.564
2022-09-19T09:00:00+02:00,18453.5,8309.264,1.439047868,15.06328166,-1007.334,3650.965,-4658.299,8309.264
2022-09-19T10:00:00+02:00,18402,5276.883,1.439047868,14.46523338,-1276.765,2000.059,-3276.824,5276.883
2022-09-19T11:00:00+02:00,18446,5437.359,4.700116352,17.47968059,-296.291,2570.534,-2866.825,5437.359
2022-09-19T12:00:00+02:00,18765,15474.467,37.34780057,35.28637886,8296.695,11885.581,-3588.886,15474.467
2022-09-19T13:00:00+02:00,18673.5,8061.819,67.15097271,33.08131887,-158.595,3951.612,-4110.207,8061.819
2022-09-19T14:00:00+02:00,18805.5,7426.645,96.46983881,39.00317767,661.063,4043.854,-3382.791,7426.645
2022-09-19T15:00:00+02:00,19095.5,20254.396,96.46983881,49.56324248,8380.69,14317.543,-5936.853,20254.396
2022-09-19T16:00:00+02:00,19292,26426.662,100,55.22029073,4832.118,15629.39,-10797.272,26426.662
2022-09-19T17:00:00+02:00,19070.5,20120.822,94.58751972,48.60271241,-11000.028,4560.397,-15560.425,20120.822
2022-09-19T18:00:00+02:00,19200.5,7902.602,92.13497841,52.22168687,478.882,4190.742,-3711.86,7902.602
2022-09-19T19:00:00+02:00,18959,9381.013,84.40871093,45.77375649,-2825.451,3277.781,-6103.232,9381.013
2022-09-19T20:00:00+02:00,19148.5,9205.279,86.28527659,50.89709864,3416.465,6310.872,-2894.407,9205.279
2022-09-19T21:00:00+02:00,19506,23423.912,88.7378179,58.80467338,10858.954,17141.433,-6282.479,23423.912
2022-09-19T22:00:00+02:00,19507.5,11245.999,96.46408539,58.8346283,1989.805,6617.902,-4628.097,11245.999
2022-09-19T23:00:00+02:00,19509.5,7611.061,100,58.87756438,75.399,3843.23,-3767.831,7611.061
2022-09-20T00:00:00+02:00,19591,7250.578,100,60.67744766,971.17,4110.874,-3139.704,7250.578
2022-09-20T01:00:00+02:00,19527.5,3497.114,97.40366655,58.52798509,-149.64,1673.737,-1823.377,3497.114
2022-09-20T02:00:00+02:00,19504.5,7045.637,93.84378016,57.73027515,-188.255,3428.691,-3616.946,7045.637
2022-09-20T03:00:00+02:00,19454,5400.72,86.53926681,55.92784783,-1123.506,2138.607,-3262.113,5400.72
2022-09-20T04:00:00+02:00,19458.5,2662.973,78.80717773,56.05949907,-267.165,1197.904,-1465.069,2662.973
2022-09-20T05:00:00+02:00,19351.5,13498.144,63.12941693,52.07608908,-3814.356,4841.894,-8656.25,13498.144
2022-09-20T06:00:00+02:00,19324,3512.4,48.94979421,51.07165979,-486.302,1513.049,-1999.351,3512.4
2022-09-20T07:00:00+02:00,19362,4607.86,40.84740032,52.43683178,647.866,2627.863,-1979.997,4607.86
2022-09-20T08:00:00+02:00,19370,4071.184,42.32293677,52.73581727,-159.092,1956.046,-2115.138,4071.184
2022-09-20T09:00:00+02:00,19352,16274.915,34.04388195,51.94461582,-513.235,7880.84,-8394.075,16274.915
2022-09-20T10:00:00+02:00,19296,6357.536,19.14136505,49.45849355,-1263.83,2546.853,-3810.683,6357.536
2022-09-20T11:00:00+02:00,19224,7859.586,3.570142456,46.38462596,1835.122,4847.354,-3012.232,7859.586
2022-09-20T12:00:00+02:00,19304,5437.682,8.655326746,50.09589721,1333.282,3385.482,-2052.2,5437.682
2022-09-20T13:00:00+02:00,19210.5,5108.641,8.655326746,46.08110945,138.241,2623.441,-2485.2,5108.641
2022-09-20T14:00:00+02:00,19120,11006.174,8.655326746,42.52838915,-2756.858,4124.658,-6881.516,11006.174
2022-09-20T15:00:00+02:00,18911.5,31863.96,9.47E-15,35.6996013,-5478.106,13192.927,-18671.033,31863.96
2022-09-20T16:00:00+02:00,19060,15234.23,11.54369771,42.75045646,3913.614,9573.922,-5660.308,15234.23
