Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),btc_price
2010-07-17,2.36,82.53800000000001,0.25,26.156666666666666,3.15,57.225806451612904,9.451612903225806,1.1483870967741936,8644.76129032258,0.04951
2010-07-18,2.37,82.59,0.25,26.063333333333333,3.1554347826086957,57.277419354838706,9.45483870967742,1.1451612903225807,8646.383870967742,0.08584
2010-07-19,2.38,82.6695,0.25,25.97,3.160869565217391,57.329032258064515,9.458064516129033,1.1419354838709679,8648.006451612902,0.0808
2010-07-20,2.37,82.749,0.25,23.92999,3.166304347826087,57.380645161290325,9.461290322580645,1.1387096774193548,8649.629032258064,0.07474
2010-07-21,2.32,83.235,0.25,25.64,3.1717391304347826,57.43225806451613,9.464516129032258,1.135483870967742,8651.251612903226,0.07921
2010-07-22,2.36,82.583,0.25,24.63,3.177173913043478,57.483870967741936,9.467741935483872,1.132258064516129,8652.874193548387,0.05149
2010-07-23,2.42,82.464,0.25,23.47,3.1826086956521737,57.53548387096774,9.470967741935484,1.1290322580645162,8654.496774193549,0.06262
2010-07-24,2.4166666666666665,82.2705,0.25,23.223333333333333,3.1880434782608695,57.58709677419355,9.474193548387097,1.1258064516129034,8656.11935483871,0.05454
2010-07-25,2.4133333333333336,82.077,0.25,22.976666666666667,3.193478260869565,57.63870967741936,9.477419354838709,1.1225806451612903,8657.741935483871,0.0505
2010-07-26,2.41,82.1105,0.25,22.73,3.1989130434782607,57.69032258064516,9.480645161290322,1.1193548387096774,8659.364516129033,0.056
2010-07-27,2.43,82.144,0.25,23.19,3.2043478260869565,57.74193548387097,9.483870967741936,1.1161290322580646,8660.987096774194,0.06
2010-07-28,2.42,82.136,0.25,24.25,3.2097826086956522,57.79354838709678,9.487096774193548,1.1129032258064517,8662.609677419356,0.0589
2010-07-29,2.44,81.639,0.25,24.13,3.2152173913043476,57.84516129032258,9.490322580645161,1.1096774193548389,8664.232258064516,0.0699
2010-07-30,2.39,81.539,0.25,23.5,3.2206521739130434,57.89677419354839,9.493548387096775,1.1064516129032258,8665.854838709678,0.0627
2010-07-31,2.4033333333333333,81.229,0.25,23.00333,3.226086956521739,57.94838709677419,9.496774193548386,1.103225806451613,8667.477419354838,0.06785
2010-08-01,2.416666666666667,80.919,0.25,22.50666,3.2315217391304345,58.0,9.5,1.1,8669.1,0.0611
2010-08-02,2.43,80.7635,0.25,22.00999,3.2369565217391303,57.94516129032258,9.5,1.1,8670.1,0.06001
2010-08-03,2.41,80.608,0.25,22.63,3.242391304347826,57.89032258064516,9.5,1.1,8671.1,0.06
2010-08-04,2.42,80.95,0.25,22.21001,3.247826086956522,57.83548387096774,9.5,1.1,8672.1,0.057
2010-08-05,2.41,80.787,0.25,22.10001,3.253260869565217,57.78064516129032,9.5,1.1,8673.1,0.061
