,CPIAUCSL,FEDFUNDS,Effective Rate MoM Change,CPI YoY % Change
1954-08-31 00:00:00,26.85,0.0122,0.0042,0
1954-09-30 00:00:00,26.81,0.0107,-0.0015,-0.002975084
1954-10-31 00:00:00,26.72,0.0085,-0.0022,-0.008534323
1954-11-30 00:00:00,26.78,0.0083,-0.0002,-0.002607076
1954-12-31 00:00:00,26.77,0.0128,0.0045,-0.003721623
1955-01-31 00:00:00,26.77,0.0139,0.0011,-0.006310319
1955-02-28 00:00:00,26.82,0.0129,-0.001,-0.006298629
1955-03-31 00:00:00,26.79,0.0135,0.0006,-0.005198663
1955-04-30 00:00:00,26.79,0.0143,0.0008,-0.002606106
1955-05-31 00:00:00,26.77,0.0143,0,-0.005941329
1955-06-30 00:00:00,26.71,0.0164,0.0021,-0.008537491
1955-07-31 00:00:00,26.76,0.0168,0.0004,-0.003723008
1955-08-31 00:00:00,26.72,0.0196,0.0028,-0.004841713
1955-09-30 00:00:00,26.85,0.0218,0.0022,0.001491981
1955-10-31 00:00:00,26.82,0.0224,0.0006,0.003742515
1955-11-30 00:00:00,26.88,0.0235,0.0011,0.00373413
1955-12-31 00:00:00,26.87,0.0248,0.0013,0.003735525
1956-01-31 00:00:00,26.83,0.0245,-0.0003,0.002241315
1956-02-29 00:00:00,26.86,0.025,0.0005,0.001491424
1956-03-31 00:00:00,26.89,0.025,0,0.003732736
1956-04-30 00:00:00,26.93,0.0262,0.0012,0.005225831
1956-05-31 00:00:00,27.03,0.0275,0.0013,0.009712365
1956-06-30 00:00:00,27.15,0.0271,-0.0004,0.016473231
1956-07-31 00:00:00,27.29,0.0275,0.0004,0.01980568
1956-08-31 00:00:00,27.31,0.0273,-0.0002,0.022080838
1956-09-30 00:00:00,27.35,0.0295,0.0022,0.018621974
1956-10-31 00:00:00,27.51,0.0296,1E-04,0.025727069
1956-11-30 00:00:00,27.51,0.0288,-0.0008,0.0234375
1956-12-31 00:00:00,27.63,0.0294,0.0006,0.028284332
1957-01-31 00:00:00,27.67,0.0284,-0.001,0.031308237
1957-02-28 00:00:00,27.8,0.03,0.0016,0.034996277
1957-03-31 00:00:00,27.86,0.0296,-0.0004,0.03607289
1957-04-30 00:00:00,27.93,0.03,0.0004,0.037133309
1957-05-31 00:00:00,28,0.03,0,0.035886053
1957-06-30 00:00:00,28.11,0.03,0,0.035359116
1957-07-31 00:00:00,28.19,0.0299,-1E-04,0.032979113
1957-08-31 00:00:00,28.28,0.0324,0.0025,0.035518125
1957-09-30 00:00:00,28.32,0.0347,0.0023,0.035466179
1957-10-31 00:00:00,28.32,0.035,0.0003,0.029443839
1957-11-30 00:00:00,28.41,0.0328,-0.0022,0.032715376
1957-12-31 00:00:00,28.47,0.0298,-0.003,0.030401737
1958-01-31 00:00:00,28.64,0.0272,-0.0026,0.035056017
1958-02-28 00:00:00,28.7,0.0167,-0.0105,0.032374101
1958-03-31 00:00:00,28.87,0.012,-0.0047,0.036252692
1958-04-30 00:00:00,28.94,0.0126,0.0006,0.036161833
1958-05-31 00:00:00,28.94,0.0063,-0.0063,0.033571429
1958-06-30 00:00:00,28.91,0.0093,0.003,0.028459623
1958-07-31 00:00:00,28.89,0.0068,-0.0025,0.024831501
1958-08-31 00:00:00,28.94,0.0153,0.0085,0.023338048
1958-09-30 00:00:00,28.91,0.0176,0.0023,0.020833333
1958-10-31 00:00:00,28.91,0.018,0.0004,0.020833333
1958-11-30 00:00:00,28.95,0.0227,0.0047,0.019007392
1958-12-31 00:00:00,28.97,0.0242,0.0015,0.017562346
1959-01-31 00:00:00,29.01,0.0248,0.0006,0.012918994
1959-02-28 00:00:00,29,0.0243,-0.0005,0.010452962
1959-03-31 00:00:00,28.97,0.028,0.0037,0.003463803
1959-04-30 00:00:00,28.98,0.0296,0.0016,0.00138217
1959-05-31 00:00:00,29.04,0.029,-0.0006,0.003455425
1959-06-30 00:00:00,29.11,0.0339,0.0049,0.006918021
1959-07-31 00:00:00,29.15,0.0347,0.0008,0.008999654
1959-08-31 00:00:00,29.18,0.035,0.0003,0.00829302
1959-09-30 00:00:00,29.25,0.0376,0.0026,0.011760636
1959-10-31 00:00:00,29.35,0.0398,0.0022,0.015219647
1959-11-30 00:00:00,29.35,0.04,0.0002,0.013816926
1959-12-31 00:00:00,29.41,0.0399,-1E-04,0.015188126
1960-01-31 00:00:00,29.37,0.0399,0,0.012409514
1960-02-29 00:00:00,29.41,0.0397,-0.0002,0.014137931
1960-03-31 00:00:00,29.41,0.0384,-0.0013,0.015188126
1960-04-30 00:00:00,29.54,0.0392,0.0008,0.019323671
1960-05-31 00:00:00,29.57,0.0385,-0.0007,0.018250689
1960-06-30 00:00:00,29.61,0.0332,-0.0053,0.017176228
