Dates,10y_2y_bonds_spread,dxy,interest_rates,vix,gdp,pmi,unemployment_rate,cpi,m2(in billions),spx,ndx,gold
2000-01-01,0.20666666666666667,101.11500000000001,5.5,23.669999999999998,4.595604395604395,56.7,4.0,2.7,4666.2,1478.9166666666667,3781.8333333333335,288.1666666666667
2000-01-02,0.20333333333333334,100.36,5.5,23.94,4.589010989010989,56.670967741935485,4.003225806451613,2.7161290322580647,4666.625806451612,1472.8333333333333,3809.6666666666665,288.5
2000-01-03,0.2,100.38499999999999,5.5,24.21,4.582417582417582,56.641935483870974,4.006451612903226,2.732258064516129,4667.051612903226,1466.75,3837.5,282.2
2000-01-04,0.19,100.41,5.5,27.01,4.5758241758241756,56.612903225806456,4.009677419354839,2.7483870967741937,4667.477419354838,1411.5,3559.5,280.6
2000-01-05,0.24,100.43,5.5,26.41,4.569230769230769,56.58387096774194,4.012903225806451,2.764516129032258,4667.903225806452,1413.0,3508.0,281.2
2000-01-06,0.22,100.51,5.5,25.73,4.562637362637362,56.55483870967742,4.016129032258064,2.7806451612903227,4668.329032258064,1404.75,3315.5,281.5
2000-01-07,0.21,100.84,5.5,21.72,4.556043956043956,56.52580645161291,4.019354838709678,2.796774193548387,4668.754838709678,1459.75,3562.0,281.4
2000-01-08,0.20333333333333334,100.905,5.5,21.716666666666665,4.549450549450549,56.49677419354839,4.02258064516129,2.8129032258064517,4669.18064516129,1464.5833333333333,3630.0,281.3
2000-01-09,0.19666666666666666,100.97,5.5,21.713333333333335,4.542857142857143,56.46774193548387,4.025806451612903,2.829032258064516,4669.606451612903,1469.4166666666667,3698.0,281.2
2000-01-10,0.19,100.765,5.5,21.71,4.536263736263736,56.438709677419354,4.029032258064516,2.8451612903225807,4670.032258064516,1474.25,3766.0,282.9
2000-01-11,0.22,100.56,5.5,22.5,4.52967032967033,56.40967741935484,4.032258064516129,2.861290322580645,4670.458064516129,1454.0,3582.0,282.3
2000-01-12,0.23,100.64,5.5,22.84,4.523076923076923,56.380645161290325,4.035483870967742,2.8774193548387097,4670.883870967742,1441.5,3508.0,283.9
2000-01-13,0.23,100.99,5.5,21.71,4.516483516483516,56.351612903225806,4.038709677419354,2.893548387096774,4671.309677419355,1459.0,3644.0,283.8
2000-01-14,0.25,101.73,5.5,19.66,4.50989010989011,56.32258064516129,4.041935483870968,2.9096774193548387,4671.735483870967,1478.5,3752.5,284.975
2000-01-15,0.2575,101.745,5.5,20.12,4.503296703296703,56.29354838709678,4.04516129032258,2.925806451612903,4672.1612903225805,1476.1875,3764.375,286.15
2000-01-16,0.265,101.76,5.5,20.58,4.496703296703297,56.26451612903226,4.048387096774193,2.941935483870968,4672.587096774193,1473.875,3776.25,287.325
2000-01-17,0.2725,101.775,5.5,21.04,4.49010989010989,56.23548387096774,4.051612903225807,2.958064516129032,4673.012903225806,1471.5625,3788.125,288.5
