time,close,close (in billions)
1959-01-01T01:00:00+01:00,2.87E+11,286.6
1959-02-01T01:00:00+01:00,2.88E+11,287.7
1959-03-01T01:00:00+01:00,2.89E+11,289.2
1959-04-01T01:00:00+01:00,2.90E+11,290.1
1959-05-01T01:00:00+01:00,2.92E+11,292.2
1959-06-01T01:00:00+01:00,2.94E+11,294.1
1959-07-01T01:00:00+01:00,2.95E+11,295.2
1959-08-01T01:00:00+01:00,2.96E+11,296.4
1959-09-01T01:00:00+01:00,2.97E+11,296.7
1959-10-01T01:00:00+01:00,2.97E+11,296.5
1959-11-01T01:00:00+01:00,2.97E+11,297.1
1959-12-01T01:00:00+01:00,2.98E+11,297.8
1960-01-01T01:00:00+01:00,2.98E+11,298.2
1960-02-01T01:00:00+01:00,2.98E+11,298.4
1960-03-01T01:00:00+01:00,2.99E+11,299.3
1960-04-01T01:00:00+01:00,3.00E+11,300.1
1960-05-01T01:00:00+01:00,3.01E+11,300.9
1960-06-01T01:00:00+01:00,3.02E+11,302.3
1960-07-01T01:00:00+01:00,3.04E+11,304.1
1960-08-01T01:00:00+01:00,3.07E+11,306.9
1960-09-01T01:00:00+01:00,3.08E+11,308.4
1960-10-01T01:00:00+01:00,3.10E+11,309.5
1960-11-01T01:00:00+01:00,3.11E+11,310.9
1960-12-01T01:00:00+01:00,3.12E+11,312.4
1961-01-01T01:00:00+01:00,3.14E+11,314.1
1961-02-01T01:00:00+01:00,3.17E+11,316.5
1961-03-01T01:00:00+01:00,3.18E+11,318.3
1961-04-01T01:00:00+01:00,3.20E+11,319.9
1961-05-01T01:00:00+01:00,3.22E+11,322.2
1961-06-01T01:00:00+01:00,3.24E+11,324.3
1961-07-01T01:00:00+01:00,3.26E+11,325.6
1961-08-01T01:00:00+01:00,3.28E+11,327.6
1961-09-01T01:00:00+01:00,3.30E+11,329.5
1961-10-01T01:00:00+01:00,3.31E+11,331.1
1961-11-01T01:00:00+01:00,3.33E+11,333.4
1961-12-01T01:00:00+01:00,3.36E+11,335.5
