time,open,high,low,close,"T10Y2Y, FEDERAL RESERVE BANK OF ST. LOUIS: Open","T10Y2Y, FEDERAL RESERVE BANK OF ST. LOUIS: High","T10Y2Y, FEDERAL RESERVE BANK OF ST. LOUIS: Low","T10Y2Y, FEDERAL RESERVE BANK OF ST. LOUIS: Close","USIRYY, BUREAU OF LABOUR STATISTICS: Open","USIRYY, BUREAU OF LABOUR STATISTICS: High","USIRYY, BUREAU OF LABOUR STATISTICS: Low","USIRYY, BUREAU OF LABOUR STATISTICS: Close","USINTR, FEDERAL RESERVE: Open","USINTR, FEDERAL RESERVE: High","USINTR, FEDERAL RESERVE: Low","USINTR, FEDERAL RESERVE: Close","USCPMI, INSTITUTE FOR SUPPLY MANAGEMENT: Open","USCPMI, INSTITUTE FOR SUPPLY MANAGEMENT: High","USCPMI, INSTITUTE FOR SUPPLY MANAGEMENT: Low","USCPMI, INSTITUTE FOR SUPPLY MANAGEMENT: Close",Volume,Volume MA
1967-01-31T01:00:00+01:00,119.89,119.89,119.89,119.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-02-28T01:00:00+01:00,119.81,119.81,119.81,119.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-03-31T01:00:00+01:00,119.79,119.79,119.79,119.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-04-28T01:00:00+01:00,119.72,119.72,119.72,119.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-05-31T00:00:00+01:00,119.64,119.64,119.64,119.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-06-30T00:00:00+01:00,119.63,119.63,119.63,119.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-07-30T22:00:00+01:00,119.7,119.7,119.7,119.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-08-31T00:00:00+01:00,119.75,119.75,119.75,119.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-09-29T00:00:00+01:00,119.74,119.74,119.74,119.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-10-31T01:00:00+01:00,119.73,119.73,119.73,119.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-11-30T01:00:00+01:00,120.27,120.27,120.27,120.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1967-12-29T01:00:00+01:00,121.79,121.79,121.79,121.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-01-31T01:00:00+01:00,122.07,122.07,122.07,122.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-02-29T01:00:00+01:00,122.08,122.08,122.08,122.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-03-29T01:00:00+01:00,122,122,122,122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-04-30T00:00:00+01:00,122.01,122.01,122.01,122.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-05-31T00:00:00+01:00,122.04,122.04,122.04,122.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-06-28T00:00:00+01:00,122.22,122.22,122.22,122.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-07-30T00:00:00+01:00,122.18,122.18,122.18,122.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-08-30T00:00:00+01:00,122.18,122.18,122.18,122.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-09-29T22:00:00+01:00,121.98,121.98,121.98,121.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-10-31T01:00:00+01:00,122.03,122.03,122.03,122.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-11-29T01:00:00+01:00,121.95,121.95,121.95,121.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1968-12-31T01:00:00+01:00,121.96,121.96,121.96,121.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-01-31T01:00:00+01:00,122.08,122.08,122.08,122.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-02-28T01:00:00+01:00,122.19,122.19,122.19,122.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-03-28T01:00:00+01:00,122.29,122.29,122.29,122.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-04-30T00:00:00+01:00,122.26,122.26,122.26,122.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-05-29T00:00:00+01:00,122.24,122.24,122.24,122.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-06-29T22:00:00+01:00,122.34,122.34,122.34,122.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-07-31T00:00:00+01:00,122.36,122.36,122.36,122.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-08-29T00:00:00+01:00,123.46,123.46,123.46,123.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-09-30T00:00:00+01:00,123.82,123.82,123.82,123.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-10-31T01:00:00+01:00,122.18,122.18,122.18,122.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-11-28T01:00:00+01:00,121.77,121.77,121.77,121.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969-12-31T01:00:00+01:00,121.74,121.74,121.74,121.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-01-30T01:00:00+01:00,121.75,121.75,121.75,121.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
