,interest_rates,dxy,cpi
1971-08-04,5.5,118.61,4.6
1971-08-05,5.5,118.54,4.6
1971-08-06,5.5,118.58,4.6
1971-08-07,5.5,118.58,4.6
1971-08-08,5.5,118.03,4.6
1971-08-09,5.5,118.03,4.6
1971-08-10,5.5,118.1,4.6
1971-08-11,5.5,118.04,4.6
1971-08-12,5.5,117.82,4.6
1971-08-13,5.5,117.84,4.6
1971-08-14,5.5,117.84,4.6
1971-08-15,5.5,117.84,4.6
1971-08-16,5.75,117.84,4.6
1971-08-17,5.75,117.84,4.6
1971-08-18,5.75,117.84,4.6
1971-08-19,5.75,117.84,4.6
1971-08-20,5.75,117.84,4.6
1971-08-21,5.75,117.84,4.6
1971-08-22,5.75,117.84,4.6
1971-08-23,5.75,117.84,4.6
1971-08-24,5.75,117.84,4.6
1971-08-25,5.75,117.84,4.6
1971-08-26,5.75,117.84,4.6
1971-08-27,5.75,117.84,4.6
1971-08-28,5.75,117.84,4.6
1971-08-29,5.75,117.84,4.6
1971-08-30,5.75,117.84,4.6
1971-08-31,5.75,116.47,4.6
1971-09-01,5.13,116.58,4.1
1971-09-02,5.13,116.35,4.1
1971-09-03,5.13,116.38,4.1
1971-09-04,5.13,116.38,4.1
1971-09-05,5.13,116.38,4.1
1971-09-06,5.13,116.38,4.1
1971-09-07,5.13,116.42,4.1
1971-09-08,5.13,116.42,4.1
1971-09-09,5.13,116.39,4.1
1971-09-10,5.13,116.32,4.1
1971-09-11,5.13,116.32,4.1
1971-09-12,5.13,116.29,4.1
1971-09-13,5.13,116.29,4.1
1971-09-14,5.13,116.03,4.1
1971-09-15,5.13,115.95,4.1
1971-09-16,5.13,115.93,4.1
1971-09-17,5.13,115.91,4.1
1971-09-18,5.13,115.91,4.1
1971-09-19,5.13,115.52,4.1
1971-09-20,5.13,115.52,4.1
1971-09-21,5.13,115.56,4.1
1971-09-22,5.13,115.42,4.1
1971-09-23,5.13,115.03,4.1
1971-09-24,5.13,114.96,4.1
1971-09-25,5.13,114.96,4.1
1971-09-26,5.13,115.03,4.1
1971-09-27,5.13,115.03,4.1
1971-09-28,5.13,115.06,4.1
1971-09-29,5.13,114.93,4.1
1971-09-30,5.13,114.93,4.1
1971-10-01,5.13,114.81,3.8
1971-10-02,5.13,114.81,3.8
1971-10-03,5.13,114.84,3.8
1971-10-04,5.13,114.84,3.8
1971-10-05,5.13,114.83,3.8
1971-10-06,5.13,114.74,3.8
1971-10-07,5.13,114.71,3.8
1971-10-08,5.13,114.7,3.8
1971-10-09,5.13,114.7,3.8
1971-10-10,5.13,114.7,3.8
1971-10-11,5.13,114.7,3.8
1971-10-12,5.13,114.66,3.8
1971-10-13,5.13,114.76,3.8
1971-10-14,5.13,114.88,3.8
1971-10-15,5.13,114.82,3.8
1971-10-16,5.13,114.82,3.8
1971-10-17,5.13,114.64,3.8
1971-10-18,5.13,114.64,3.8
1971-10-19,5.13,114.66,3.8
1971-10-20,5.13,114.62,3.8
1971-10-21,5.13,114.58,3.8
1971-10-22,5.13,114.6,3.8
1971-10-23,5.13,114.6,3.8
1971-10-24,5.13,114.6,3.8
1971-10-25,5.13,114.6,3.8
1971-10-26,5.13,114.53,3.8
1971-10-27,5.13,114.64,3.8
1971-10-28,5.13,114.6,3.8
1971-10-29,5.13,114.65,3.8
1971-10-30,5.13,114.65,3.8
1971-10-31,5.13,114.63,3.8
