time,open,high,low,close,Volume
1997-09-09T00:00:00+02:00,933.75,941.25,932.75,934,11387
1997-09-10T00:00:00+02:00,933.75,934.25,914.5,915.25,2523
1997-09-11T00:00:00+02:00,924,929.75,910.25,918.25,9945
1997-09-12T00:00:00+02:00,918,936.5,913.5,933.75,8911
1997-09-15T00:00:00+02:00,933.5,939.75,929,931.5,11874
1997-09-16T00:00:00+02:00,931.25,960,930.25,956,11093
1997-09-17T00:00:00+02:00,956,962.5,951.5,956,11620
1997-09-18T00:00:00+02:00,955.75,970.5,954.75,957.75,10005
1997-09-19T00:00:00+02:00,957.75,963.25,953,960.5,12126
1997-09-22T00:00:00+02:00,960.25,972,960.25,966.25,10198
1997-09-23T00:00:00+02:00,965.25,967.25,956.5,962,14580
1997-09-24T00:00:00+02:00,961.5,970.5,952,954.5,14114
1997-09-25T00:00:00+02:00,953.75,957.5,945.5,946.5,12097
1997-09-26T00:00:00+02:00,946.25,956.5,946.25,953.25,11152
1997-09-29T00:00:00+02:00,953.25,964.5,950.25,961.75,15239
1997-09-30T00:00:00+02:00,961,965.25,952.75,954.5,14015
1997-10-01T00:00:00+02:00,955.5,966.5,954.5,963.5,9651
1997-10-02T00:00:00+02:00,963.25,969.5,961,969,13792
1997-10-03T00:00:00+02:00,969.25,985.5,961.75,975.5,9245
1997-10-06T00:00:00+02:00,976.75,983.75,976.5,981.5,11896
1997-10-07T00:00:00+02:00,981.5,992.25,977.5,989.5,16204
1997-10-08T00:00:00+02:00,989.5,991.75,974.75,982.25,9407
1997-10-09T00:00:00+02:00,982.25,983.25,969.25,978,6506
1997-10-10T00:00:00+02:00,978.75,981,964,976.75,3914
1997-10-13T00:00:00+02:00,976.75,981.75,974,976.25,11923
1997-10-14T00:00:00+02:00,976.25,981.5,968.5,977.5,9715
1997-10-15T00:00:00+02:00,975.75,976.75,968,973.5,12998
1997-10-16T00:00:00+02:00,973.5,981.25,955.25,959.75,13573
1997-10-17T00:00:00+02:00,959,960,935.5,948.75,11772
1997-10-20T00:00:00+02:00,963.5,963.5,962.25,962.25,10576
1997-10-21T00:00:00+02:00,964.25,980.5,964.25,979.5,10284
1997-10-22T00:00:00+02:00,979,980.5,970.5,974.25,13567
1997-10-23T00:00:00+02:00,973,974.25,947.5,955.5,14924
1997-10-24T00:00:00+02:00,956,969,941.5,944,15394
1997-10-27T00:00:00+01:00,942.5,944,874,874,17082
1997-10-28T00:00:00+01:00,862,933,844,924.5,16552
1997-10-29T00:00:00+01:00,924.5,942,916.25,924.5,13868
1997-10-30T00:00:00+01:00,924.5,928.5,902,903,14353
1997-10-31T00:00:00+01:00,902,926.25,889.75,924,11469
1997-11-03T00:00:00+01:00,923.75,948,921.25,945.75,11354
1997-11-04T00:00:00+01:00,946,946.75,936.25,945.75,11065
1997-11-05T00:00:00+01:00,941.5,956,938.25,947,8873
1997-11-06T00:00:00+01:00,946.5,947.5,937.25,942.25,13527
1997-11-07T00:00:00+01:00,942.25,943,916.5,931.25,9940
1997-11-10T00:00:00+01:00,930,940.5,922.75,926.25,6889
1997-11-11T00:00:00+01:00,926,929.75,924.25,926.5,14190
1997-11-12T00:00:00+01:00,926.5,929.5,905.5,908.25,13929
1997-11-13T00:00:00+01:00,907,922.5,902.5,919.25,11389
1997-11-14T00:00:00+01:00,920,932.5,920,932.5,9936
1997-11-17T00:00:00+01:00,932,954.5,932,950,10836
1997-11-18T00:00:00+01:00,950,954.5,940,942.5,11297
1997-11-19T00:00:00+01:00,942.25,951.5,936.25,947.75,10550
1997-11-20T00:00:00+01:00,948,965.5,947,963,9902
1997-11-21T00:00:00+01:00,962.5,971,957.5,969.5,7759
1997-11-24T00:00:00+01:00,968.5,969,947,949.75,10626
1997-11-25T00:00:00+01:00,950,957.5,944.75,951.75,6905
1997-11-26T00:00:00+01:00,952,959.75,948.75,955,2113
1997-11-28T00:00:00+01:00,954.75,962.25,953.75,955,10503
1997-12-01T00:00:00+01:00,955.5,979.5,955.5,979.5,10021
1997-12-02T00:00:00+01:00,980,982,972,975,12160
1997-12-03T00:00:00+01:00,974.75,981.25,969,977.5,12238
1997-12-04T00:00:00+01:00,977.5,985.75,972.5,977,14021
1997-12-05T00:00:00+01:00,976.25,989,963,986.5,8595
1997-12-08T00:00:00+01:00,986.5,989.75,980.5,984.5,11308
1997-12-09T00:00:00+01:00,984.75,986.25,974.5,979,11609
1997-12-10T00:00:00+01:00,978.75,979.75,963.5,970.25,3858
1997-12-11T00:00:00+01:00,981,981.5,962,965.25,11754
1997-12-12T00:00:00+01:00,964.75,974.5,957.75,966.5,10702
1997-12-15T00:00:00+01:00,966.75,978.5,960.5,974.25,9155
1997-12-16T00:00:00+01:00,973.5,985.75,973.25,980.5,9590
1997-12-17T00:00:00+01:00,980.25,988,974.5,975.5,12068
1997-12-18T00:00:00+01:00,975.25,976.5,960.5,965,15892
1997-12-19T00:00:00+01:00,964,964,957.5,957.5,9434
1997-12-22T00:00:00+01:00,956.75,962.75,956.75,962.75,6200
1997-12-23T00:00:00+01:00,962.75,965,944,945,3671
1997-12-24T00:00:00+01:00,944.75,953.5,941.5,942.25,1907
1997-12-26T00:00:00+01:00,944,949.5,943,946,1907
1997-12-29T00:00:00+01:00,945.5,966.5,941.25,965.75,6556
1997-12-30T00:00:00+01:00,966.5,980.5,965.5,979.25,5283
1997-12-31T00:00:00+01:00,979.5,984,975.25,979,4654
1998-01-02T00:00:00+01:00,979.25,984.75,972.5,984.75,12496
